mjd,mag,magerr,expid,ra,dec,programid,catflags
58449.52710,18.49116,0.04033,69552803,181.43618,34.38124,3,0
58455.46488,18.49390,0.04041,70146530,181.43615,34.38126,3,0
58461.54770,18.45039,0.03918,70754760,181.43617,34.38123,3,0
58464.54950,18.47568,0.03989,71054914,181.43616,34.38125,3,0
58464.55041,18.46066,0.03947,71055005,181.43619,34.38123,1,0
58465.50694,18.49279,0.04037,71150650,181.43618,34.38122,3,0
58467.53699,18.64804,0.04513,71353637,181.43604,34.38126,1,32768
58468.51581,18.45309,0.03926,71451511,181.43618,34.38122,3,0
58471.54867,18.47606,0.03990,71754771,181.43620,34.38123,3,0
58471.54959,18.47507,0.03987,71754864,181.43618,34.38123,1,0
58474.49545,18.43163,0.03867,72049425,181.43617,34.38123,1,0
58474.49637,18.50459,0.04071,72049517,181.43614,34.38122,3,0
58480.54664,18.44058,0.03891,72654495,181.43617,34.38124,1,0
58486.50827,18.45655,0.03935,73250611,181.43616,34.38125,3,0
58486.50918,18.45798,0.03939,73250702,181.43615,34.38123,1,0
58487.53483,18.41631,0.03825,73353259,181.43616,34.38124,3,0
58491.53327,18.46080,0.03947,73753072,181.43619,34.38123,1,0
58491.53419,18.44440,0.03902,73753165,181.43618,34.38126,3,0
58492.48700,18.40388,0.03792,73848439,181.43617,34.38123,3,0
58493.51242,18.43373,0.03872,73950974,181.43618,34.38124,3,0
58494.44368,18.45222,0.03923,74044093,181.43617,34.38122,1,0
58494.45307,18.51761,0.04109,74045032,181.43618,34.38121,3,0
58502.55307,18.45619,0.03934,74854978,181.43616,34.38124,3,0
58502.55400,18.46955,0.03972,74855070,181.43618,34.38123,1,0
58503.48871,18.43975,0.03889,74948535,181.43613,34.38122,3,0
58505.53112,18.56369,0.04247,75152765,181.43617,34.38120,1,0
58505.53204,18.37410,0.03714,75152856,181.43617,34.38129,3,0
58506.55557,18.38826,0.03751,75255203,181.43614,34.38115,3,0
58508.46693,18.46567,0.03961,75446328,181.43618,34.38123,3,0
58508.47699,18.53949,0.04174,75447334,181.43618,34.38123,1,0
58509.46509,18.47593,0.03990,75546138,181.43615,34.38127,3,0
58511.39252,18.42486,0.03848,75738871,181.43619,34.38125,1,0
58512.45731,18.49779,0.04052,75845344,181.43615,34.38121,3,32768
58514.42677,18.37981,0.03729,76042281,181.43615,34.38121,1,32768
58514.42770,18.35848,0.03674,76042373,181.43616,34.38122,3,32768
58522.53777,18.41254,0.03815,76853344,181.43619,34.38121,3,0
58522.53870,18.38838,0.03751,76853437,181.43619,34.38121,1,0
58524.47251,18.46490,0.03959,77046811,181.43620,34.38123,3,0
58526.49521,18.43529,0.03877,77249074,181.43614,34.38125,1,0
58526.49614,18.36861,0.03700,77249166,181.43619,34.38129,3,0
58534.38203,18.31267,0.03560,78037733,181.43614,34.38137,1,0
58534.38342,18.28935,0.03503,78037872,181.43624,34.38144,3,0
58538.34475,18.55568,0.04223,78433997,181.43619,34.38136,1,32768
58539.33413,18.48488,0.04015,78532934,181.43618,34.38128,3,32768
58540.33585,18.41894,0.03832,78633104,181.43620,34.38124,3,0
58543.34533,18.41558,0.03823,78934048,181.43619,34.38123,3,0
58547.31473,18.45400,0.03928,79330986,181.43617,34.38122,3,0
58557.26761,18.44854,0.03913,80326277,181.43630,34.38130,3,0
58558.33251,18.46899,0.03970,80432768,181.43619,34.38125,3,0
58559.25944,18.44357,0.03899,80525462,181.43617,34.38125,3,0
58559.26035,18.43439,0.03874,80525554,181.43616,34.38121,1,0
58560.34514,18.46467,0.03958,80634034,181.43617,34.38124,3,0
58567.25374,18.45149,0.03921,81324908,181.43618,34.38120,1,0
58568.28317,18.38288,0.03737,81427854,181.43617,34.38123,3,0
58572.29500,18.44956,0.03916,81829048,181.43618,34.38123,3,0
58572.29668,18.48014,0.04001,81829216,181.43617,34.38121,1,0
58573.26248,18.40045,0.03783,81925799,181.43620,34.38123,3,0
58575.24051,18.41677,0.03827,82123609,181.43612,34.38126,3,32768
58575.25360,18.45352,0.03927,82124918,181.43618,34.38122,1,32768
58580.28667,18.39578,0.03771,82628245,181.43619,34.38123,3,0
58580.28759,18.39915,0.03780,82628336,181.43620,34.38121,1,0
58581.26078,18.41898,0.03833,82725660,181.43618,34.38124,3,0
58584.30290,18.35521,0.03666,83029886,181.43619,34.38124,3,0
58584.32147,18.36668,0.03695,83031743,181.43619,34.38121,1,0
58585.31368,18.37955,0.03728,83130968,181.43617,34.38123,3,0
58586.25194,18.36468,0.03690,83224799,181.43621,34.38124,3,0
58587.28051,18.34119,0.03630,83327662,181.43618,34.38124,3,0
58587.28143,18.38596,0.03745,83327753,181.43619,34.38121,1,0
58588.34612,18.21120,0.03322,83434228,181.43623,34.38127,3,32768
58589.25563,18.37253,0.03710,83525184,181.43613,34.38125,3,0
58591.35548,18.37111,0.03707,83735180,181.43622,34.38124,1,0
58591.35648,18.36195,0.03683,83735280,181.43618,34.38123,3,0
58592.27311,18.35861,0.03674,83826947,181.43616,34.38125,3,0
58594.32232,18.42913,0.03860,84031880,181.43618,34.38123,3,0
58594.32332,18.36903,0.03701,84031981,181.43617,34.38122,1,0
58597.33098,18.39821,0.03777,84332765,181.43615,34.38125,1,0
58597.33191,18.40454,0.03794,84332857,181.43619,34.38124,3,0
58601.27607,18.40569,0.03797,84727298,181.43619,34.38123,3,0
58602.28638,18.38610,0.03745,84828336,181.43615,34.38125,3,0
58606.20706,18.40383,0.03792,85220430,181.43619,34.38123,1,0
58607.23534,18.38141,0.03733,85323266,181.43618,34.38125,3,0
58608.23808,18.37936,0.03728,85423547,181.43619,34.38123,3,0
58612.21538,18.38662,0.03747,85821305,181.43620,34.38124,1,0
58612.21640,18.41047,0.03810,85821407,181.43618,34.38125,3,0
58616.15583,18.31827,0.03573,86215379,181.43619,34.38122,3,0
58617.25703,18.34024,0.03628,86325508,181.43617,34.38123,3,0
58618.30592,18.62449,0.04437,86430405,181.43620,34.38120,3,32768
58619.19717,18.30343,0.03537,86519537,181.43624,34.38126,3,0
58619.19809,18.05931,0.03004,86519629,181.43649,34.38115,1,32768
58628.30384,18.40513,0.03796,87430276,181.43620,34.38123,3,0
58628.30985,18.38030,0.03730,87430877,181.43620,34.38122,1,0
58632.17904,18.41715,0.03828,87817828,181.43620,34.38125,3,0
58633.19676,18.37876,0.03726,87919608,181.43619,34.38124,3,0
58633.19767,18.39246,0.03762,87919700,181.43618,34.38122,1,0
58634.25881,18.33868,0.03624,88025822,181.43618,34.38123,3,0
58635.26372,18.39335,0.03764,88126321,181.43619,34.38120,3,0
58637.19630,18.34021,0.03628,88319596,181.43619,34.38124,3,0
58638.22428,18.37138,0.03707,88422402,181.43618,34.38124,3,0
58639.18018,18.30936,0.03551,88518000,181.43620,34.38123,3,0
58639.18210,18.35504,0.03665,88518192,181.43615,34.38123,1,0
58642.22187,18.36473,0.03690,88822194,181.43619,34.38123,1,0
58648.19555,18.35944,0.03677,89419612,181.43618,34.38125,1,0
58651.23389,18.29211,0.03510,89723471,181.43618,34.38122,1,0
58654.17387,18.31893,0.03575,90017493,181.43618,34.38123,1,0
58658.18087,18.33148,0.03606,90418225,181.43621,34.38125,1,0
58661.19866,18.34063,0.03629,90720028,181.43617,34.38125,1,0
58667.22379,18.32582,0.03592,91322587,181.43619,34.38122,1,0
58670.18514,18.37105,0.03706,91618745,181.43618,34.38124,1,0
58673.20282,18.36613,0.03694,91920534,181.43619,34.38123,1,0
58676.19425,18.41896,0.03833,92219699,181.43621,34.38122,1,0
58677.19983,18.33599,0.03617,92320263,181.43624,34.38124,3,0
58679.20175,18.34117,0.03630,92520469,181.43617,34.38123,1,0
