|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 249.7209554 28.4519368 73718a221-005479 16.357     0.271    4.0 15.275      null    0.9 0000     BU              10 57608.70636547         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.845782 113.348174 
 249.7200021 28.4525107 51857a135-003525 16.323     0.285    3.8 15.431     0.464    2.3 0000     BC              10 56891.43520920         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.878974 315.254434 
 249.7209527 28.4523844 95815a218-005117 16.200     0.354    3.1 15.293     0.471    2.3 0000     BC              10 58332.03375353         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.901844  62.443257 
 249.7210329 28.4521009 79733b064-002814 16.321     0.305    3.6 14.808     0.452    2.4 0000     BC              10 57805.68704608         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.945035  94.149910 
 249.7203256 28.4526767 79725b064-004175 16.535     0.322    3.4 14.620      null    1.5 0000     BU               5 57805.42511101         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.955088 351.209179 
 249.7198651 28.4523893 57413b068-004350 16.639     0.360    3.0 15.110     0.319    3.4 0000     CB              10 57074.06086201         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.972373 297.066731 
 249.7209447 28.4518380 46401b070-005948 16.634     0.375    2.9 15.076     0.335    3.2 0000     CB               5 56711.92211508         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.984984 123.210083 
 249.7210508 28.4521449 51869a204-005553 16.484     0.401    2.7 15.497     0.485    2.2 0000     CC              10 56891.82995714         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 1.996671  89.493652 
 249.7200997 28.4516568 51830a228-004640 16.112     0.249    4.4 15.166      null    0.3 0000     BU              10 56890.58013417         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.013388 210.234095 
 249.7197902 28.4520089 62782a226-005530 16.253     0.253    4.3 15.268      null    0.7 0000     BU               5 57250.26468990         16.584             0.066         15.478             0.087         12.182             0.322          8.853             0.430 2.048537 256.680187 
