mjd,mag,magerr,expid,ra,dec,programid,catflags
58558.38420,18.58000,0.04165,80437937,181.43620,34.38122,3,0
58559.33887,18.54508,0.04070,80533406,181.43616,34.38126,1,0
58560.25990,18.56439,0.04122,80625510,181.43619,34.38125,3,0
58561.32496,18.43704,0.03795,80732018,181.43616,34.38117,3,0
58567.26245,18.60059,0.04222,81325778,181.43614,34.38133,3,0
58567.26337,18.58749,0.04185,81325871,181.43622,34.38130,1,0
58568.25457,18.58891,0.04189,81424994,181.43619,34.38125,3,0
58572.26409,18.58283,0.04173,81825957,181.43617,34.38122,3,0
58572.26500,18.57863,0.04161,81826048,181.43617,34.38121,1,0
58574.34274,18.56997,0.04137,82033829,181.43617,34.38124,3,32768
58575.31699,18.68110,0.04456,82131258,181.43616,34.38123,1,0
58580.24510,18.59218,0.04199,82624087,181.43616,34.38124,3,0
58580.24604,18.52908,0.04028,82624181,181.43618,34.38124,1,0
58582.33379,18.56228,0.04116,82832966,181.43619,34.38124,3,0
58584.27571,18.55420,0.04095,83027166,181.43618,34.38121,1,0
58585.25919,18.58812,0.04187,83125519,181.43618,34.38124,3,0
58586.17799,18.63989,0.04334,83217403,181.43616,34.38122,3,0
58587.23780,18.50003,0.03952,83323390,181.43617,34.38125,3,0
58587.37727,18.47794,0.03896,83337337,181.43621,34.38124,1,0
58588.27881,18.56089,0.04113,83427496,181.43611,34.38112,3,32768
58589.15544,18.70554,0.04530,83515164,181.43625,34.38133,3,0
58591.19521,18.65149,0.04368,83719152,181.43619,34.38123,3,0
58591.21487,18.49254,0.03933,83721118,181.43619,34.38123,1,0
58592.17808,18.71239,0.04551,83817444,181.43615,34.38126,3,0
58594.23002,18.60458,0.04233,84022650,181.43616,34.38127,1,0
58594.23106,18.53915,0.04054,84022754,181.43618,34.38123,3,0
58596.19549,18.59259,0.04200,84219209,181.43621,34.38125,3,0
58597.27804,18.50740,0.03971,84327471,181.43618,34.38124,3,0
58597.27896,18.57340,0.04147,84327562,181.43619,34.38125,1,0
58598.23582,18.58283,0.04173,84423254,181.43619,34.38124,3,0
58599.19617,18.53257,0.04037,84519295,181.43619,34.38125,3,0
58600.23292,18.58713,0.04184,84622976,181.43621,34.38124,1,0
58601.24835,18.59256,0.04200,84724526,181.43621,34.38123,3,0
58606.39573,18.56179,0.04115,85239298,181.43620,34.38124,3,0
58606.39663,18.50062,0.03954,85239388,181.43620,34.38123,1,0
58607.30346,18.52591,0.04019,85330078,181.43619,34.38123,3,0
58608.28145,18.58547,0.04180,85427884,181.43619,34.38126,3,0
58609.21511,18.53424,0.04041,85521256,181.43620,34.38125,1,0
58609.21615,18.56363,0.04120,85521361,181.43619,34.38123,3,0
58612.25966,18.56658,0.04128,85825733,181.43619,34.38124,3,0
58612.26057,18.53717,0.04049,85825825,181.43620,34.38125,1,0
58619.22991,18.53731,0.04049,86522811,181.43614,34.38128,1,0
58619.23089,18.53395,0.04040,86522909,181.43615,34.38123,3,0
58628.19745,18.53086,0.04032,87419636,181.43619,34.38123,3,0
58628.19837,18.52237,0.04010,87419729,181.43620,34.38123,1,0
58633.22511,18.54613,0.04073,87922444,181.43620,34.38125,3,0
58633.22703,18.56092,0.04113,87922636,181.43619,34.38123,1,0
58634.22014,18.57908,0.04162,88021954,181.43622,34.38124,3,0
58635.19850,18.53436,0.04042,88119799,181.43619,34.38124,3,0
58636.23841,18.55920,0.04108,88223798,181.43622,34.38124,1,0
58636.24321,18.51737,0.03997,88224278,181.43620,34.38122,3,0
58637.22442,18.50164,0.03956,88322408,181.43618,34.38124,3,0
58638.20279,18.58613,0.04182,88420253,181.43620,34.38123,3,0
58639.22473,18.60586,0.04237,88522456,181.43620,34.38124,1,0
58639.22566,18.56474,0.04123,88522548,181.43619,34.38123,3,0
58642.20201,18.54826,0.04079,88820208,181.43620,34.38124,1,0
58645.19645,18.50872,0.03974,89119677,181.43619,34.38123,1,0
58648.18372,18.56441,0.04122,89418429,181.43618,34.38124,1,0
58651.17167,18.62111,0.04280,89717248,181.43620,34.38119,1,0
58654.26208,18.62321,0.04286,90026314,181.43619,34.38123,1,0
58658.20206,18.54651,0.04074,90420344,181.43621,34.38125,1,0
58661.22280,18.50229,0.03958,90722443,181.43620,34.38122,1,0
58667.20577,18.53185,0.04035,91320785,181.43621,34.38124,1,0
58670.20166,18.54734,0.04076,91620396,181.43619,34.38124,1,0
58676.18236,18.47180,0.03880,92218510,181.43619,34.38123,1,0
58677.17370,18.54987,0.04083,92317650,181.43616,34.38122,3,0
58679.17700,18.55374,0.04093,92517994,181.43623,34.38123,1,0
