|ra         |dec       |source_id       |w1mpro|w1sigmpro|w1snr |w2mpro|w2sigmpro|w2snr |cc_flags|ph_qual|qual_frame|mjd           |w1mpro_allwise|w1sigmpro_allwise|w2mpro_allwise|w2sigmpro_allwise|w3mpro_allwise|w3sigmpro_allwise|w4mpro_allwise|w4sigmpro_allwise|dist    |angle     |
|double     |double    |char            |double|double   |double|double|double   |double|char    |char   |int       |double        |double        |double           |double        |double           |double        |double           |double        |double           |double  |double    |
|deg        |deg       |                |mag   |mag      |      |mag   |mag      |      |        |       |          |mjdate        |mag           |mag              |mag           |mag              |mag           |mag              |mag           |mag              |arcsec  |deg       |
|null       |null      |null            |null  |null     |null  |null  |null     |null  |null    |null   |null      |null          |null          |null             |null          |null             |null          |null             |null          |null             |null    |null      |
 181.4361916 34.3810677 93385a164-000464 15.196     0.155    7.0 13.757     0.121    9.0 0000     BB              10 58252.52540256         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.575081 197.560727 
 181.4360951 34.3811199 93371a189-000564 15.120     0.099   11.0 13.918     0.127    8.6 0000     AB              10 58252.06736815         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.584515 231.938491 
 181.4360800 34.3811344 60429a174-000454 15.177     0.135    8.0 13.898     0.136    8.0 0000     BB              10 57173.04135288         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.591671 238.611950 
 181.4363754 34.3813492 82377a122-000490 15.144     0.127    8.6 14.191     0.157    6.9 0000     BB              10 57892.23441167         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.595943  38.695548 
 181.4360675 34.3811450 60406a199-000421 14.989     0.094   11.6 13.704     0.131    8.3 0000     AB              10 57172.31960222         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.605722 243.528972 
 181.4360473 34.3812396 88529b092-000573 15.201     0.116    9.3 14.045     0.173    6.3 0000     BB              10 58093.63329909         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.606354 276.682548 
 181.4360481 34.3811908 99752a064-000831 15.617     0.162    6.7 14.415     0.243    4.5 0000     BB              10 58460.83156953         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.609004 260.060423 
 181.4360836 34.3811194 49395a118-000446 14.934     0.086   12.7 14.093     0.238    4.6 0000     AB              10 56810.44690006         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.612847 233.775658 
 181.4360442 34.3812063 88556a056-000501 15.170     0.104   10.5 13.910     0.153    7.1 0000     AB               5 58094.48429971         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.613432 265.388503 
 181.4361769 34.3813794 99756a064-000450 15.074     0.106   10.3 14.056     0.170    6.4 0000     AB              10 58460.96247304         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.613563 339.269507 
 181.4362132 34.3810508 71369a171-000463 14.956     0.091   11.9 14.046     0.168    6.4 0000     AB              10 57531.72276701         15.140             0.033         13.981             0.037         10.367             0.074          8.008             0.232 0.618852 190.176108 
